timestamp,simple-path,time
2021-09-11 13:22:52.296,/master/welcome,269
2021-09-11 13:22:52.551,/master/welcome,240
2021-09-11 13:22:53.133,/master/sign-in,524
2021-09-11 13:22:53.995,/master/welcome,533
2021-09-11 13:23:03.111,/master/welcome,283
2021-09-11 13:23:03.684,/master/welcome,525
2021-09-11 13:23:03.971,/master/welcome,239
2021-09-11 13:23:04.501,/master/welcome,235
2021-09-11 13:23:04.745,/master/welcome,232
2021-09-11 13:23:05.304,/master/sign-in,533
2021-09-11 13:23:06.149,/master/welcome,531
2021-09-11 13:23:06.684,/master/welcome,249
2021-09-11 13:23:07.239,/master/welcome,527
2021-09-11 13:23:07.491,/master/welcome,230
2021-09-11 13:23:07.757,/master/welcome,246
2021-09-11 13:23:08.314,/master/sign-in,527
2021-09-11 13:23:09.147,/master/welcome,521
2021-09-11 13:23:10.851,/master/welcome,1043
2021-09-11 13:23:11.412,/administrator/user-account/list,521
2021-09-11 13:23:11.978,/administrator/user-account/show,526
2021-09-11 13:23:12.305,/master/welcome,289
2021-09-11 13:23:12.862,/master/welcome,526
2021-09-11 13:23:16.526,/master/welcome,266
2021-09-11 13:23:16.773,/master/welcome,235
2021-09-11 13:23:17.328,/master/sign-in,526
2021-09-11 13:23:18.169,/master/welcome,531
2021-09-11 13:23:27.242,/master/welcome,291
2021-09-11 13:23:27.811,/master/welcome,531
2021-09-11 13:23:28.07,/master/welcome,240
2021-09-11 13:23:28.309,/master/welcome,233
2021-09-11 13:23:28.871,/master/sign-in,530
2021-09-11 13:23:29.706,/master/welcome,519
2021-09-11 13:23:30.273,/administrator/user-account/list,519
2021-09-11 13:23:30.971,/administrator/user-account/show,519
2021-09-11 13:23:31.354,/master/welcome,288
2021-09-11 13:23:31.901,/master/welcome,523
2021-09-11 13:23:32.154,/master/welcome,234
2021-09-11 13:23:32.391,/master/welcome,228
2021-09-11 13:23:32.948,/master/sign-in,533
2021-09-11 13:23:33.79,/master/welcome,532
2021-09-11 13:23:34.36,/administrator/user-account/list,525
2021-09-11 13:23:35.056,/administrator/user-account/show,526
2021-09-11 13:23:35.435,/master/welcome,288
2021-09-11 13:23:35.984,/master/welcome,522
2021-09-11 13:23:36.242,/master/welcome,236
2021-09-11 13:23:36.482,/master/welcome,233
2021-09-11 13:23:37.03,/master/sign-in,522
2021-09-11 13:23:37.862,/master/welcome,519
2021-09-11 13:23:38.43,/administrator/user-account/list,523
2021-09-11 13:23:39.125,/administrator/user-account/show,520
2021-09-11 13:23:39.518,/master/welcome,291
2021-09-11 13:23:40.101,/master/welcome,554
2021-09-11 13:23:40.363,/master/welcome,236
2021-09-11 13:23:40.875,/master/welcome,237
2021-09-11 13:23:41.123,/master/welcome,240
2021-09-11 13:23:41.679,/master/sign-in,528
2021-09-11 13:23:42.513,/master/welcome,521
2021-09-11 13:23:43.05,/master/welcome,243
2021-09-11 13:23:43.602,/master/welcome,526
2021-09-11 13:23:46.658,/master/welcome,267
2021-09-11 13:23:46.911,/master/welcome,246
2021-09-11 13:23:47.474,/master/sign-in,534
2021-09-11 13:23:48.309,/master/welcome,531
2021-09-11 13:23:57.398,/master/welcome,291
2021-09-11 13:23:57.951,/master/welcome,527
2021-09-11 13:23:58.218,/master/welcome,249
